Ticket,Symbol,Type,Open time,Open price,Size,Close time,Close price,Time in trade,Profit/Loss,Cummulative P/L,Comm/Swap,P/L in money,Cummulative money P/L,P/L in pips,Cummulative pips P/L,P/L in %,Cummulative % P/L,Comment,Sample type
121,XAUUSD,Buy,18.02.2020 16:11:00,1592.09,8.83,18.02.2020 16:33:06,1590.96,22m 6s,-1068.06,-2435.44,-70.27,-1068.06,-2435.44,-11300,271800,-1.08,-1.7,sl 1590.97,IS
120,XAUUSD,Buy,18.02.2020 16:11:00,1592.09,1.77,18.02.2020 17:29:47,1596.96,1h 18m,847.88,-1587.56,-14.11,847.88,-1587.56,48700,320500,0.87,-0.83,tp 1596.87,IS
125,XAUUSD,Buy,18.02.2020 23:07:01,1602.59,1.96,19.02.2020 03:08:14,1604.12,4h 1m,179.51,-1408.05,-120.37,179.51,-1408.05,15300,335800,0.18,-0.65,,IS
126,XAUUSD,Buy,18.02.2020 23:07:01,1602.59,1.96,19.02.2020 03:08:14,1604.12,4h 1m,179.51,-1228.54,-120.37,179.51,-1228.54,15300,351100,0.18,-0.46,,IS
123,XAUUSD,Buy,18.02.2020 17:21:00,1593.95,8.58,19.02.2020 10:29:09,1607.73,17h 8m,11296.39,10067.85,-526.85,11296.39,10067.85,137800,488900,11.44,10.97,tp 1607.60,IS
130,XAUUSD,Buy,19.02.2020 23:22:01,1611.1,2.2,20.02.2020 13:44:30,1614.22,14h 22m,316.22,10384.07,-370.18,316.22,10384.07,31200,520100,0.29,11.26,,IS
133,XAUUSD,Buy,20.02.2020 17:23:00,1620.91,8.61,20.02.2020 17:42:28,1619.66,19m 28s,-1146,9238.07,-69.75,-1146,9238.07,-12500,507600,-1.04,10.22,sl 1619.66,IS
135,XAUUSD,Buy,20.02.2020 18:31:00,1622.7,8.35,20.02.2020 18:36:24,1621.37,5m 24s,-1178.27,8059.8,-67.72,-1178.27,8059.8,-13300,494300,-1.08,9.14,sl 1621.37,IS
137,XAUUSD,Buy,20.02.2020 23:00:00,1619.69,2.16,21.02.2020 01:16:35,1621.22,2h 16m,197.64,8257.44,-132.84,197.64,8257.44,15300,509600,0.18,9.33,,IS
138,XAUUSD,Buy,20.02.2020 23:00:00,1619.7,2.16,21.02.2020 01:16:35,1621.2,2h 16m,191.16,8448.6,-132.84,191.16,8448.6,15000,524600,0.18,9.5,,IS
132,XAUUSD,Buy,20.02.2020 17:23:00,1620.94,1.94,21.02.2020 06:15:14,1625.79,12h 52m,821.55,9270.15,-119.35,821.55,9270.15,48500,573100,0.76,10.26,tp 1625.79,IS
143,XAUUSD,Buy,21.02.2020 16:48:00,1646.37,7.55,21.02.2020 16:50:43,1644.74,2m 43s,-1292.77,7977.38,-62.12,-1292.77,7977.38,-16300,556800,-1.18,9.08,sl 1644.75,IS
145,XAUUSD,Buy,21.02.2020 17:11:00,1648.43,7.26,21.02.2020 17:19:42,1646.93,8m 42s,-1148.81,6828.57,-59.81,-1148.81,6828.57,-15000,541800,-1.06,8.01,sl 1646.94,IS
142,XAUUSD,Buy,21.02.2020 16:48:00,1646.2,1.89,21.02.2020 18:32:17,1640.49,1h 44m,-1094.72,5733.85,-15.53,-1094.72,5733.85,-57100,484700,-1.02,6.99,sl 1640.51,IS
148,XAUUSD,Buy,21.02.2020 23:00:00,1643.85,2.1,24.02.2020 01:01:00,1658.09,2d 2h 1m,2860.93,8594.78,-129.47,2860.93,8594.78,142400,627100,2.71,9.69,,IS
