Ticket,Symbol,Type,Open time,Open price,Size,Close time,Close price,Time in trade,Profit/Loss,Cummulative P/L,Comm/Swap,P/L in money,Cummulative money P/L,P/L in pips,Cummulative pips P/L,P/L in %,Cummulative % P/L,Comment,Sample type
3075631823,XAUUSD,Buy,24.03.2025 23:58:30,3012.17,3.34,25.03.2025 03:52:28,3014.23,3h 53m,469.72,12005.07,-218.32,469.72,12005.07,20600,545900,0.42,11.36,,IS
3075789927,XAUUSD,Buy,25.03.2025 23:02:08,3019.71,3.36,26.03.2025 01:15:43,3021.75,2h 13m,467.7,12472.77,-217.74,467.7,12472.77,20400,566300,0.42,11.78,,IS
3075975717,XAUUSD,Buy,26.03.2025 23:52:05,3020.25,3.37,27.03.2025 03:03:53,3023.4,3h 11m,507.15,12979.92,-554.4,507.15,12979.92,31500,597800,0.45,12.23,,IS
3076171651,XAUUSD,Buy,27.03.2025 23:01:16,3057.31,3.38,28.03.2025 03:09:50,3059.42,4h 8m,478.64,13458.56,-234.54,478.64,13458.56,21100,618900,0.42,12.65,,IS
3076171652,XAUUSD,Buy,27.03.2025 23:01:16,3057.31,3.38,28.03.2025 03:07:47,3058.86,4h 6m,289.36,13747.92,-234.54,289.36,13747.92,15500,634400,0.26,12.91,,IS
3076352651,XAUUSD,Buy,28.03.2025 23:00:05,3081.41,3.41,28.03.2025 23:11:50,3082.98,11m 45s,482.82,14230.74,-52.55,482.82,14230.74,15700,650100,0.42,13.33,,IS
3076356140,XAUUSD,Buy,28.03.2025 23:38:04,3082.2,3.42,28.03.2025 23:46:46,3084.18,8m 42s,624.44,14855.18,-52.72,624.44,14855.18,19800,669900,0.55,13.88,,IS
3076804909,XAUUSD,Buy,31.03.2025 23:18:03,3123.47,3.44,01.04.2025 01:01:33,3125.49,1h 43m,466.39,15321.57,-228.49,466.39,15321.57,20200,690100,0.41,14.28,,IS
3077005404,XAUUSD,Buy,01.04.2025 23:40:00,3118.75,3.45,02.04.2025 03:24:41,3120.78,3h 44m,477.82,15799.39,-222.53,477.82,15799.39,20300,710400,0.41,14.7,,IS
3077202601,XAUUSD,Buy,02.04.2025 23:00:00,3124.81,3.47,02.04.2025 23:16:15,3126.44,16m 15s,511.38,16310.77,-54.23,511.38,16310.77,16300,726700,0.44,15.14,,IS
3077202604,XAUUSD,Buy,02.04.2025 23:00:00,3124.81,3.47,02.04.2025 23:16:15,3126.17,16m 15s,417.69,16728.46,-54.23,417.69,16728.46,13600,740300,0.36,15.5,,IS
3077214914,XAUUSD,Buy,02.04.2025 23:17:00,3120.2,3.5,02.04.2025 23:18:40,3121.75,1m 40s,487.88,17216.34,-54.62,487.88,17216.34,15500,755800,0.42,15.92,,IS
3077214915,XAUUSD,Buy,02.04.2025 23:17:00,3120.1,3.5,02.04.2025 23:18:38,3121.34,1m 38s,379.39,17595.73,-54.61,379.39,17595.73,12400,768200,0.32,16.24,,IS
3077217978,XAUUSD,Buy,02.04.2025 23:19:00,3120.68,3.52,02.04.2025 23:20:38,3122.14,1m 38s,458.99,18054.72,-54.93,458.99,18054.72,14600,782800,0.39,16.63,,IS
3077217979,XAUUSD,Buy,02.04.2025 23:19:00,3120.87,3.52,02.04.2025 23:19:06,3121.88,6s,300.59,18355.31,-54.93,300.59,18355.31,10100,792900,0.25,16.88,,IS
3077218487,XAUUSD,Buy,02.04.2025 23:20:00,3121.07,3.53,02.04.2025 23:20:08,3122.15,8s,326.15,18681.46,-55.09,326.15,18681.46,10800,803700,0.28,17.16,,IS
3077219569,XAUUSD,Buy,02.04.2025 23:22:00,3121.94,3.56,02.04.2025 23:25:16,3123.55,3m 16s,517.57,19199.03,-55.59,517.57,19199.03,16100,819800,0.44,17.6,,IS
3077219570,XAUUSD,Buy,02.04.2025 23:22:00,3121.94,3.56,02.04.2025 23:22:10,3122.99,10s,318.22,19517.25,-55.58,318.22,19517.25,10500,830300,0.27,17.86,,IS
3077220436,XAUUSD,Buy,02.04.2025 23:23:00,3119.4,3.56,02.04.2025 23:23:42,3120.41,42s,304.03,19821.28,-55.53,304.03,19821.28,10100,840400,0.25,18.12,,IS
3077220695,XAUUSD,Buy,02.04.2025 23:24:00,3121.46,3.57,02.04.2025 23:24:45,3122.71,45s,390.52,20211.8,-55.73,390.52,20211.8,12500,852900,0.33,18.44,,IS
3077244403,XAUUSD,Buy,02.04.2025 23:51:01,3128.66,3.6,02.04.2025 23:51:20,3130.72,19s,685.26,20897.06,-56.34,685.26,20897.06,20600,873500,0.57,19.01,,IS
3077244404,XAUUSD,Buy,02.04.2025 23:51:01,3128.66,3.6,02.04.2025 23:51:09,3129.84,8s,368.47,21265.53,-56.33,368.47,21265.53,11800,885300,0.3,19.32,,IS
3077244711,XAUUSD,Buy,02.04.2025 23:52:00,3128.35,3.63,02.04.2025 23:52:59,3131.6,59s,1122.94,22388.47,-56.81,1122.94,22388.47,32500,917800,0.93,20.24,,IS
3077244712,XAUUSD,Buy,02.04.2025 23:52:00,3128.35,3.63,02.04.2025 23:52:59,3131.6,59s,1122.94,23511.41,-56.81,1122.94,23511.41,32500,950300,0.92,21.16,,IS
3077891915,XAUUSD,Buy,04.04.2025 23:09:00,3034.46,3.7,04.04.2025 23:09:43,3036.15,43s,569.15,24080.56,-56.15,569.15,24080.56,16900,967200,0.46,21.62,,IS
3077894333,XAUUSD,Buy,04.04.2025 23:34:00,3037.23,3.72,07.04.2025 04:39:40,3037.57,2d 5h 5m,-110.44,23970.12,-236.92,-110.44,23970.12,3400,970600,-0.09,21.53,,IS
3078242458,XAUUSD,Buy,07.04.2025 23:01:00,2972.91,1.23,07.04.2025 23:03:40,2974.53,2m 40s,180.97,24151.09,-18.29,180.97,24151.09,16200,986800,0.15,21.68,,IS
3078243284,XAUUSD,Buy,07.04.2025 23:04:00,2975.24,1.24,07.04.2025 23:06:31,2976.82,2m 31s,177.47,24328.56,-18.45,177.47,24328.56,15800,1002600,0.14,21.82,,IS
3078247932,XAUUSD,Buy,07.04.2025 23:54:00,2983.22,1.24,08.04.2025 01:02:19,2985.25,1h 8m,173.45,24502.01,-78.27,173.45,24502.01,20300,1022900,0.14,21.96,,IS
3078513317,XAUUSD,Buy,08.04.2025 23:11:02,2983.5,1.24,09.04.2025 02:04:19,2987.27,2h 53m,390.57,24892.58,-76.91,390.57,24892.58,37700,1060600,0.31,22.28,,IS
3078984363,XAUUSD,Buy,09.04.2025 23:16:00,3089.65,3.74,09.04.2025 23:18:08,3092,2m 8s,821.1,25713.68,-57.8,821.1,25713.68,23500,1084100,0.66,22.93,,IS
3078984364,XAUUSD,Buy,09.04.2025 23:16:00,3089.65,3.74,09.04.2025 23:17:44,3090.78,1m 44s,364.83,26078.51,-57.79,364.83,26078.51,11300,1095400,0.29,23.22,,IS
3078984611,XAUUSD,Buy,09.04.2025 23:18:00,3091.12,3.75,10.04.2025 03:24:36,3093.7,4h 6m,396.52,26475.03,-570.98,396.52,26475.03,25800,1121200,0.31,23.54,,IS
3078984741,XAUUSD,Buy,09.04.2025 23:19:00,3091.36,3.78,10.04.2025 03:28:46,3094.23,4h 9m,509.31,26984.34,-575.55,509.31,26984.34,28700,1149900,0.4,23.94,,IS
3079247120,XAUUSD,Buy,10.04.2025 23:00:00,3171.26,3.8,10.04.2025 23:00:13,3172.79,13s,521.13,27505.47,-60.27,521.13,27505.47,15300,1165200,0.41,24.35,,IS
3079247184,XAUUSD,Buy,10.04.2025 23:00:00,3171.2,3.8,10.04.2025 23:00:13,3172.42,13s,403.33,27908.8,-60.27,403.33,27908.8,12200,1177400,0.32,24.67,,IS
3079247616,XAUUSD,Buy,10.04.2025 23:01:00,3173.26,3.83,10.04.2025 23:08:17,3174.83,7m 17s,540.53,28449.33,-60.78,540.53,28449.33,15700,1193100,0.42,25.09,,IS
3079247617,XAUUSD,Buy,10.04.2025 23:01:00,3173.26,3.83,10.04.2025 23:01:36,3174.34,36s,352.87,28802.2,-60.77,352.87,28802.2,10800,1203900,0.27,25.37,,IS
3079247975,XAUUSD,Buy,10.04.2025 23:03:00,3173.2,3.84,10.04.2025 23:07:37,3174.24,4m 37s,338.43,29140.63,-60.93,338.43,29140.63,10400,1214300,0.26,25.63,,IS
3079248997,XAUUSD,Buy,10.04.2025 23:14:02,3174.1,3.87,10.04.2025 23:56:53,3175.66,42m 51s,542.29,29682.92,-61.43,542.29,29682.92,15600,1229900,0.42,26.05,,IS
3079248998,XAUUSD,Buy,10.04.2025 23:14:02,3174.1,3.87,10.04.2025 23:56:12,3175.17,42m 10s,352.66,30035.58,-61.43,352.66,30035.58,10700,1240600,0.27,26.32,,IS
3080675573,XAUUSD,Buy,21.04.2025 23:01:00,3422.01,3.9,21.04.2025 23:24:41,3423.54,23m 41s,529.96,30565.54,-66.74,529.96,30565.54,15300,1255900,0.41,26.73,,IS
3080678178,XAUUSD,Buy,21.04.2025 23:36:00,3422.15,3.91,21.04.2025 23:39:26,3423.67,3m 26s,527.4,31092.94,-66.92,527.4,31092.94,15200,1271100,0.4,27.13,,IS
3081174462,XAUUSD,Buy,23.04.2025 23:06:00,3292.72,1.31,23.04.2025 23:09:14,3294.27,3m 14s,181.48,31274.42,-21.57,181.48,31274.42,15500,1286600,0.14,27.27,,IS
3081176253,XAUUSD,Buy,23.04.2025 23:16:01,3293.18,1.31,23.04.2025 23:19:42,3294.76,3m 41s,185.4,31459.82,-21.58,185.4,31459.82,15800,1302400,0.14,27.41,,IS
3081177679,XAUUSD,Buy,23.04.2025 23:26:01,3291.42,1.31,24.04.2025 01:01:14,3294.53,1h 35m,183.05,31642.87,-224.36,183.05,31642.87,31100,1333500,0.14,27.55,,IS
3081372524,XAUUSD,Buy,24.04.2025 23:01:00,3340.95,3.94,24.04.2025 23:30:06,3342.45,29m 6s,525.17,32168.04,-65.83,525.17,32168.04,15000,1348500,0.4,27.95,,IS
3081372525,XAUUSD,Buy,24.04.2025 23:01:00,3340.95,3.94,24.04.2025 23:04:24,3342.03,3m 24s,359.69,32527.73,-65.83,359.69,32527.73,10800,1359300,0.27,28.22,,IS
3081373695,XAUUSD,Buy,24.04.2025 23:06:01,3340.91,3.95,24.04.2025 23:28:48,3341.92,22m 47s,332.96,32860.69,-65.99,332.96,32860.69,10100,1369400,0.25,28.47,,IS
